Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,Date
1,17.4,19.7,15.8,,69,0,10,28.2,33.5,,2015-10
2,18.3,21,16,,74,0,10,26.5,35.2,,2015-10
3,20.3,23.6,16,,68,0,10,17.6,25.9,,2015-10
4,20.8,26.2,16,,70,0,10,15.4,22.2,,2015-10
5,20.3,23.2,16.8,,78,0,9.8,11.9,18.3,,2015-10
6,18.3,21,17,,83,3.05,10,14.4,33.5,,2015-10
7,19.1,23.5,15,,72,0,10,13.3,20.6,,2015-10
8,18.4,21.3,16,,74,1.52,10.5,23.3,33.5,,2015-10
9,18.1,21.4,15.4,,60,0,10,16.9,24.1,,2015-10
10,19.3,24,15.6,,59,0,10,13,20.6,,2015-10
11,19.9,23,18,,72,7.87,9.3,13.1,25.9,,2015-10
12,20.2,26.3,14,,79,7.11,9.5,19.1,37,,2015-10
13,14.1,15.3,13,,84,6.1,9.8,25.9,33.5,,2015-10
14,17.2,21.1,14.4,,68,0,10,19.8,33.5,35.2,2015-10
15,17.4,20.8,15.4,,65,0,10,19.6,29.4,44.6,2015-10
16,18.7,23,15.6,,64,0,10,19.6,27.8,,2015-10
17,18.5,20,17.4,,76,0,9.8,12.6,18.3,,2015-10
18,18.2,20.9,17,,72,0,10,10.4,16.5,,2015-10
19,18.2,21.2,14.9,,75,0,9,9.3,13,,2015-10
20,18.9,23,14.4,,75,0,7.2,7.2,14.8,,2015-10
21,16.1,18.6,14,,83,2.29,8,22.8,33.5,50,2015-10
22,17.3,19.6,14,,85,1.02,9.8,16.5,25.9,,2015-10
23,16,18.4,13,,87,13.46,8,29.1,42.4,61.1,2015-10
24,13.7,15.5,12,,77,13.72,9.2,23.9,37,,2015-10
25,14.2,17.5,10.8,,70,1.27,10,14.4,27.8,42.4,2015-10
26,14.8,18.1,10.5,,66,0.25,10,15,22.2,,2015-10
27,14.8,18.5,12,,63,0,10,19.1,29.4,,2015-10
28,14,16.7,10.5,,55,0,10,18.7,27.8,,2015-10
29,14.9,18,12,,64,0,10,19.6,31.7,42.4,2015-10
30,15.1,18.3,13,,66,0,10,23.3,31.7,50,2015-10
31,14.1,16.2,12.7,,58,0,10.5,29.3,44.6,63,2015-10
