Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,Date
,,,,,,,,,,,2017-10
1,17.1,20,15.3,,78,10.16,8.9,13.5,22.2,35.2,2017-10
2,17.3,20.8,14.6,,63,7.87,9.7,17.4,27.8,38.9,2017-10
3,16.9,20.9,13,,55,0,10,15.6,24.1,,2017-10
4,17,21.4,11,,61,0,11.1,12.2,20.6,,2017-10
5,17,20,11.7,,74,0,8.9,10.6,18.3,,2017-10
6,20.4,24.4,15.8,,60,0,,11.7,22.2,,2017-10
7,20.3,24,15,,65,0.51,9,12,25.9,,2017-10
8,14.4,18.1,12,,73,7.11,9.8,12.6,22.2,,2017-10
9,15.9,19.3,9.8,,56,0.51,10,10,20.6,,2017-10
10,17.2,20.7,12.4,,59,0,10,10.7,20.6,,2017-10
11,17.1,21.2,11.5,,60,0,10,10.6,18.3,,2017-10
12,16.7,21.5,11.4,,60,0,,11.1,16.5,,2017-10
13,16.3,19.7,10.6,,67,0,,9.1,16.5,,2017-10
14,15.8,19.9,12,,72,0,9.3,16.7,33.5,51.9,2017-10
15,15.6,19.1,10,,67,0,9.7,8.3,14.8,,2017-10
16,17.9,22.5,13.5,,70,0,11.3,13,25.9,,2017-10
17,17.9,23.9,12.8,,59,0,,12.8,20.6,31.7,2017-10
18,20,28,12.7,,47,0,,14.3,24.1,,2017-10
19,17.9,22.1,13.4,,75,0,7.6,10.7,18.3,,2017-10
20,17.6,21,13.4,,86,0,4.8,5.6,13,,2017-10
21,17.3,21,14,,88,0.51,3.7,7,13,,2017-10
22,18.7,24,16,,70,0.25,4.5,16.3,24.1,,2017-10
23,19.7,25,15.4,,62,0,,12.2,18.3,,2017-10
24,18.3,22,15,,71,0.51,10.3,12,22.2,,2017-10
25,16.9,21.3,13,,79,5.84,8.9,18.3,44.6,,2017-10
26,13.3,16.1,10,,81,22.1,9.2,21.3,40.7,55.4,2017-10
27,14.2,17.3,8.9,,78,0.25,6.4,10.4,16.5,,2017-10
28,14.9,18.2,10,,80,0,10.6,20.7,35.2,,2017-10
29,13.3,16,10.3,,70,4.57,10,22.6,40.7,53.5,2017-10
30,13,16,9,,49,5.08,9.8,19.8,35.2,46.5,2017-10
31,10.2,13.2,6,,45,0,10,12.4,22.2,29.4,2017-10
