Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,Date
,,,,,,,,,,,2019-1
1,7,10.2,4.3,,64,0,10,19.4,31.7,46.5,2019-1
2,6.6,8,6,,76,0.51,8.7,13.7,22.2,33.5,2019-1
3,6,9,4.5,,80,3.3,8.4,20.2,33.5,48.2,2019-1
4,3.4,5,2.5,,76,22.61,8.5,28.7,51.9,74.1,2019-1
5,3.6,6,2.5,,84,0.76,8.7,23.2,31.7,51.9,2019-1
6,2.8,4.5,1,,76,6.35,10,18,25.9,37,2019-1
7,1.5,3.2,0,,75,0,8.9,25.2,37,48.2,2019-1
8,0.2,3,-2,,72,0.25,9.5,23.7,37,51.9,2019-1
9,5,8,-2,,60,,10,30,37,51.9,2019-1
10,11.3,12.2,6.5,,65,,10,30,44.6,66.5,2019-1
11,8.7,12,5.6,,85,2.29,8,24.3,46.5,66.5,2019-1
12,4.8,7,3,,86,21.08,7.9,23,29.4,42.4,2019-1
13,4.3,6,2.8,,69,4.83,9.7,15.2,27.8,48.2,2019-1
14,6.9,9,3.3,,77,0,9.8,13.3,25.9,37,2019-1
15,4.8,8,2,,75,4.06,8.5,27,50,74.1,2019-1
16,3.7,7,-0.6,,60,2.79,12.1,19.3,25.9,70.2,2019-1
17,7.4,9,4.6,,74,0,,14.8,22.2,35.2,2019-1
18,9.4,11.1,5.8,,68,0,,15,22.2,44.3,2019-1
19,9.5,13,7,,73,0,9.2,14.6,22.2,31.3,2019-1
20,10.6,13,6.2,,68,,7.7,11.1,16.5,33.5,2019-1
21,8.5,12,6,,80,1.02,9.2,17,31.7,48.2,2019-1
22,7.5,10,5.6,,75,3.3,9.7,12.2,20.6,37,2019-1
23,10.2,14,5.6,,80,0,10,12.4,25.9,35.2,2019-1
24,11.9,14,9,,66,2.29,10,14.3,27.8,42.4,2019-1
25,12.4,16,5.3,,61,0.25,9.8,13.7,25.9,35.2,2019-1
26,11.3,15,7,,66,0,8.4,15.9,35.2,48.2,2019-1
27,7.3,9,6,,82,4.32,9,15.2,24.1,48.2,2019-1
28,9.3,12,7,,81,0.25,5.5,10.2,24.1,29.4,2019-1
29,13.3,17,10,,59,0,10,12.6,20.6,38.9,2019-1
30,13.2,17,10,,58,,10,13.5,25.9,37,2019-1
31,10.6,14,8.6,,75,0.51,9.7,18,37,51.9,2019-1
