Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,Date
1,28.3,33,24.7,,62,0,9.2,19.3,29.4,40.7,2016-8
2,27.9,32,24.5,,66,0,9.7,15,27.8,44.3,2016-8
3,27.3,30,24.4,,64,0,10,22.4,35.2,51.9,2016-8
4,27.7,31,25,,63,0.51,10,25,38.9,55.4,2016-8
5,28.5,32,25.7,,61,0,10,24.6,33.5,55.4,2016-8
6,28.6,32,25,,59,0,10,21.5,33.5,50,2016-8
7,28.5,34,25.3,,67,0,10,16.7,29.4,42.4,2016-8
8,28.8,32.2,26,,66,0,10,24.8,42.4,57.2,2016-8
9,28.6,33,25.6,,64,0,10,24.1,35.2,51.9,2016-8
10,28.6,32,26,,66,0,10,21.3,37,51.9,2016-8
11,29.6,36,25.4,,58,0,10,17.4,27.8,42.4,2016-8
12,25.6,30,22,,68,0,10,35.6,53.5,68.3,2016-8
13,22.2,24,20.7,,62,,10,31.5,44.6,66.5,2016-8
14,24.2,28,21.5,,42,0,10.8,22.2,35.2,53.5,2016-8
15,24.6,28,20.3,,51,0,10,20.9,35.2,55.4,2016-8
16,25.6,30,21.7,,55,0,10,17.2,25.9,40.7,2016-8
17,26.3,31,20.6,,55,0,10,15.9,22.2,42.4,2016-8
18,27.3,33,22.9,,52,0,,18.5,25.9,40.7,2016-8
19,27.1,31,24,,64,0,10,22,33.5,50,2016-8
20,27.4,30,24.5,,66,0,10,20.9,33.5,50,2016-8
21,27.2,31,25,,70,0,10,18.9,29.4,42.4,2016-8
22,26.7,31,23.7,,70,0,10,14.8,22.2,31.3,2016-8
23,26.7,30,24.3,,65,0,10,21.3,33.5,50,2016-8
24,25.6,28,24,,71,,9.8,21.3,29.4,44.3,2016-8
25,25.3,28,22.6,,67,2.79,10,25.9,40.7,59.4,2016-8
26,24.8,28,22.5,,63,0,10,22.2,38.9,55.4,2016-8
27,25.3,29,22,,59,0,10,19.3,29.4,51.9,2016-8
28,24.9,29,21.1,,64,0,10,14.3,24.1,37,2016-8
29,25.1,29,20.9,,64,0,10,12,18.3,35.2,2016-8
30,24.4,27,20.9,,70,0,10,11.9,18.3,27.8,2016-8
31,25.3,29.2,21.6,,69,0,9.8,18.1,33.5,51.9,2016-8
