Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,Date
,,,,,,,,,,,2014-11
1,11.6,13,10.7,,69,8.64,9,26.3,40.7,,2014-11
2,11.4,14,7,,62,0,10,18,24.1,40.7,2014-11
3,11,14,9,,53,0,10,15.6,24.1,40.7,2014-11
4,11.7,16,6.9,,60,0,7.6,11.1,20.6,,2014-11
5,12.4,16,6.8,,71,0,5.1,7.2,16.5,,2014-11
6,15.1,17,12.1,,73,0,,10.2,16.5,,2014-11
7,15.7,19,11.3,,68,0,5.6,5.7,14.8,,2014-11
8,16.7,21,11.8,,53,0,5.5,8.5,20.6,,2014-11
9,15.8,20,11.5,,75,0,7.2,10.4,18.3,,2014-11
10,15.3,19,11.4,,76,0,5.5,8.9,18.3,,2014-11
11,15.3,18,13.6,,79,0,7.4,11.9,20.6,,2014-11
12,15.5,18,14,,79,0,7.9,10.4,18.3,29.4,2014-11
13,15.4,17,13.8,,83,2.03,6.4,8.3,16.5,,2014-11
14,15.7,17.2,14,,82,0,7.6,19.3,27.8,35.2,2014-11
15,13.7,15,12.4,,85,0,7.6,25.2,35.2,,2014-11
16,12.9,14,12,,86,0.51,5.8,19.1,22.2,,2014-11
17,14.7,16,13.3,,80,0,8.7,8.9,14.8,,2014-11
18,16.6,19,12.9,,77,0,5.3,6.7,16.5,27.8,2014-11
19,18.2,21,14,,66,0,8.7,10.4,27.8,,2014-11
20,12.7,15,10.7,,77,17.53,9.7,14.4,27.8,,2014-11
21,10.3,12,7,,74,0,10,16.5,35.2,,2014-11
22,7.3,8.2,5.8,,78,1.52,10,19.4,24.1,,2014-11
23,8.7,10,7,,70,0,10,16.1,24.1,,2014-11
24,9.1,10,7,,79,0,8.7,21.5,37,,2014-11
25,8.2,9,6.8,,76,11.94,9,29.1,38.9,55.4,2014-11
26,6.7,8,5.4,,79,2.54,9,28.5,42.4,57.6,2014-11
27,6.4,8,5,,79,0.51,10,19.3,25.9,,2014-11
28,8.7,11,4,,75,0,9.7,8,13,,2014-11
29,11.9,13.2,7.6,,78,0,9.2,12.2,20.6,,2014-11
30,9.1,10,8.4,,87,9.91,7.2,19.6,25.9,42.4,2014-11
